Date,Open,High,Low,Close,Adj Close,Volume
2018-11-27,24.370001,25.700001,24.270000,25.530001,24.218975,90759000
2018-11-28,25.500000,25.870001,25.049999,25.379999,24.076677,92811300
2018-11-29,24.959999,25.500000,24.879999,25.170000,23.877464,65584300
2018-11-30,25.110001,25.559999,25.070000,25.459999,24.152567,90874500
2018-12-03,26.299999,26.530001,25.799999,25.940001,24.607920,90530000
2018-12-04,26.250000,26.330000,25.340000,25.340000,24.038731,66867500
2018-12-05,25.469999,25.719999,24.950001,25.559999,24.247435,54183300
2018-12-06,24.990000,25.120001,24.309999,24.590000,23.327248,99037200
2018-12-07,24.520000,25.469999,24.450001,24.770000,23.498003,87994700
2018-12-10,24.770000,24.900000,23.440001,23.440001,22.236303,73871100
2018-12-11,23.920000,24.070000,23.070000,23.290001,22.094006,64017600
2018-12-12,23.740000,23.900000,23.200001,23.299999,22.103491,63296400
2018-12-13,23.290001,23.450001,22.959999,23.360001,22.160412,61946100
2018-12-14,23.080000,23.330000,22.959999,23.049999,21.866327,45231700
2018-12-17,23.219999,23.270000,22.799999,22.870001,21.695574,53832000
2018-12-18,22.780001,22.799999,22.000000,22.000000,20.870249,74740000
2018-12-19,22.500000,23.049999,22.059999,22.250000,21.107410,171157500
2018-12-20,22.309999,22.320000,21.350000,21.490000,20.386438,141767000
2018-12-21,21.400000,21.980000,21.250000,21.549999,20.443357,90384300
2018-12-26,20.590000,21.680000,20.420000,21.680000,21.274069,77104200
2018-12-27,21.520000,21.980000,21.280001,21.670000,21.264257,74083700
2018-12-28,22.110001,22.830000,22.080000,22.680000,22.255346,61634700
2019-01-02,22.549999,24.200001,22.280001,24.059999,23.609507,104534800
2019-01-03,23.959999,24.820000,23.799999,24.650000,24.188459,95206400
2019-01-04,24.850000,24.940001,24.469999,24.719999,24.257149,72119800
2019-01-07,24.850000,25.920000,24.700001,25.110001,24.639847,121711900
2019-01-08,25.400000,25.420000,24.770000,24.959999,24.492655,68761800
2019-01-09,25.299999,25.500000,25.150000,25.480000,25.002920,70177600
2019-01-10,25.260000,25.410000,25.070000,25.260000,24.787039,54763700
2019-01-11,25.150000,25.190001,24.840000,24.990000,24.522095,53980700
